sample,strategy,mapping,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown
MAIN,ML hard classification,Alternative (1.0 / 0.5 / 0.0),0.7006499725404101,0.00039188967880336636,0.007811549622683612,-0.01288101560738616,-0.018519171155796627,-0.2271755925910799
MAIN,ML hard classification,Original (1.0 / 0.75 / 0.25),0.832010807253414,0.0004468001220592857,0.008172329484229102,-0.013261404250252977,-0.019126208571483144,-0.21874706325193272
MAIN,ML probability-weighted,Alternative (1.0 / 0.5 / 0.0),0.6526494191879415,0.0003707599326490993,0.007693951905865867,-0.012728822942968192,-0.01816125690042747,-0.22452847558602984
MAIN,ML probability-weighted,Original (1.0 / 0.75 / 0.25),0.7846776181182604,0.0004274817659218779,0.008119005341021954,-0.013420284813597772,-0.019014058099800037,-0.21764240578059346
MAIN,Regime-based,Alternative (1.0 / 0.5 / 0.0),0.7339147789191112,0.0004058862315966,0.0077984883546667,-0.0128804700840168,-0.0184201806764649,-0.2204221014892143
MAIN,Regime-based,Original (1.0 / 0.75 / 0.25),0.8524449172737547,0.0004546506957823,0.0081599964812817,-0.013320819196331,-0.0190382191744818,-0.2101834170172228
ROBUST,ML hard classification,Alternative (1.0 / 0.5 / 0.0),0.6212938780098602,0.0002997670723266765,0.007810772976150844,-0.012929937975246423,-0.018791787978104515,-0.23475713947772903
ROBUST,ML hard classification,Original (1.0 / 0.75 / 0.25),0.6646173443048426,0.00031612610035897267,0.008724364034816069,-0.01435826210292732,-0.02075380826524808,-0.23061095188692537
ROBUST,ML probability-weighted,Alternative (1.0 / 0.5 / 0.0),0.5182726498704555,0.00025904049261205275,0.007684801776322283,-0.013201377905271707,-0.01833926923081223,-0.23746195746456078
ROBUST,ML probability-weighted,Original (1.0 / 0.75 / 0.25),0.5965862500160035,0.0002902405435185441,0.008711589364981875,-0.014583333626389373,-0.020750773917844773,-0.2530813287404159
ROBUST,Regime-based,Alternative (1.0 / 0.5 / 0.0),0.5432572037610743,0.00026899891518709505,0.007863316419080087,-0.012907090300183579,-0.018964612006329002,-0.24448680815591606
ROBUST,Regime-based,Original (1.0 / 0.75 / 0.25),0.5988029923033258,0.0002909207808100145,0.008765375915872169,-0.01435748640694932,-0.02080783607070693,-0.26225938620496636
