Sample,Strategy,Mapping,Total Return,Volatility,CVaR 95%,Max Drawdown
MAIN,ML hard classification,Alternative (1.0 / 0.5 / 0.0),0.7006,0.0078,-0.0185,-0.2272
MAIN,ML hard classification,Original (1.0 / 0.75 / 0.25),0.832,0.0082,-0.0191,-0.2187
MAIN,ML probability-weighted,Alternative (1.0 / 0.5 / 0.0),0.6526,0.0077,-0.0182,-0.2245
MAIN,ML probability-weighted,Original (1.0 / 0.75 / 0.25),0.7847,0.0081,-0.019,-0.2176
MAIN,Regime-based,Alternative (1.0 / 0.5 / 0.0),0.7339,0.0078,-0.0184,-0.2204
MAIN,Regime-based,Original (1.0 / 0.75 / 0.25),0.8524,0.0082,-0.019,-0.2102
ROBUST,ML hard classification,Alternative (1.0 / 0.5 / 0.0),0.6213,0.0078,-0.0188,-0.2348
ROBUST,ML hard classification,Original (1.0 / 0.75 / 0.25),0.6646,0.0087,-0.0208,-0.2306
ROBUST,ML probability-weighted,Alternative (1.0 / 0.5 / 0.0),0.5183,0.0077,-0.0183,-0.2375
ROBUST,ML probability-weighted,Original (1.0 / 0.75 / 0.25),0.5966,0.0087,-0.0208,-0.2531
ROBUST,Regime-based,Alternative (1.0 / 0.5 / 0.0),0.5433,0.0079,-0.019,-0.2445
ROBUST,Regime-based,Original (1.0 / 0.75 / 0.25),0.5988,0.0088,-0.0208,-0.2623
