sample,date,event_date,relative_session,strategy,return,cumulative_return_window,drawdown_window,probability_high_risk,assigned_regime,economic_label,strategy_exposure
MAIN,2022-01-27,2022-02-24,-20,Regime-based,0.0058489501101467,0.005866088616639287,0.0,0.0265167863467872,2,medium_risk,0.5905564268559998
MAIN,2022-01-28,2022-02-24,-19,Regime-based,-0.0065618947731034,-0.0007126905782968151,-0.006540412555297359,0.0223927984591717,2,medium_risk,0.5905564268559998
MAIN,2022-01-31,2022-02-24,-18,Regime-based,0.0002057377328243,-0.0005070783224419007,-0.006335999405095882,0.014626094835158,2,medium_risk,0.5905564268559998
MAIN,2022-02-01,2022-02-24,-17,Regime-based,0.0077586522346664,0.007277800700425496,0.0,0.0164551318073634,2,medium_risk,0.5905564268559998
MAIN,2022-02-02,2022-02-24,-16,Regime-based,-0.0009142842764453,0.0063572833166407605,-0.0009138664459245049,0.0113651638606221,2,medium_risk,0.5905564268559998
MAIN,2022-02-03,2022-02-24,-15,Regime-based,-0.0016152914973028,0.004733035123959395,-0.0025263790929339613,0.0084770842382742,2,medium_risk,0.5905564268559998
MAIN,2022-02-04,2022-02-24,-14,Regime-based,-0.0068426102712841,-0.002118493558698087,-0.009328403994002143,0.0109657746894684,2,medium_risk,0.5905564268559998
MAIN,2022-02-07,2022-02-24,-13,Regime-based,-0.0021283165793004,-0.004240042847934,-0.011434624629223844,0.0083067901337392,2,medium_risk,0.5905564268559998
MAIN,2022-02-08,2022-02-24,-12,Regime-based,0.0079641658961329,0.0037220181461523616,-0.003530091253674539,0.0115672278366754,2,medium_risk,0.5905564268559998
MAIN,2022-02-09,2022-02-24,-11,Regime-based,0.0115816799610251,0.015414383249167107,0.0,0.0245543379558443,2,medium_risk,0.5905564268559998
MAIN,2022-02-10,2022-02-24,-10,Regime-based,0.0026509444905602,0.01810976148463661,0.0,0.0159400363181984,2,medium_risk,0.5905564268559998
MAIN,2022-02-11,2022-02-24,-9,Regime-based,-0.0058841795541227,0.012136611619714355,-0.00586690167493531,0.0146898215240867,2,medium_risk,0.5905564268559998
MAIN,2022-02-14,2022-02-24,-8,Regime-based,-0.0152509578488525,-0.003182329994529831,-0.02091335559745322,0.0471249099000201,2,medium_risk,0.5905564268559998
MAIN,2022-02-15,2022-02-24,-7,Regime-based,0.0098497932182961,0.0066846319257070075,-0.01122190356201791,0.0481215101103265,2,medium_risk,0.5905564268559998
MAIN,2022-02-16,2022-02-24,-6,Regime-based,0.0012991891453413,0.00799335562801895,-0.009936458954941774,0.0277797517705519,2,medium_risk,0.5905564268559998
MAIN,2022-02-17,2022-02-24,-5,Regime-based,-0.00448479333289,0.0034828356821359208,-0.014366747433175897,0.0198880635377022,2,medium_risk,0.5905564268559998
MAIN,2022-02-18,2022-02-24,-4,Regime-based,-0.0055493855014584,-0.002070454491734819,-0.019821257726616914,0.0167832882577994,2,medium_risk,0.5905564268559998
MAIN,2022-02-21,2022-02-24,-3,Regime-based,-0.0069917524075865,-0.009023395847620463,-0.02665052272231505,0.0169837342155731,2,medium_risk,0.5905564268559998
MAIN,2022-02-22,2022-02-24,-2,Regime-based,0.0002990533866927,-0.008726996620628147,-0.026359395735613633,0.0119961447522792,2,medium_risk,0.5905564268559998
MAIN,2022-02-23,2022-02-24,-1,Regime-based,-0.0037038256510509,-0.012391708082107433,-0.02995892065926753,0.0103772891289343,2,medium_risk,0.5905564268559998
MAIN,2022-02-24,2022-02-24,0,Regime-based,-0.0171514711840346,-0.02918620636015845,-0.04645468458707902,0.0555319539547625,2,medium_risk,0.5905564268559998
MAIN,2022-02-25,2022-02-24,1,Regime-based,0.0203961608396569,-0.009182021270684904,-0.02680632657477311,0.2708046381819531,2,medium_risk,0.5905564268559998
MAIN,2022-02-28,2022-02-24,2,Regime-based,-0.0005151271212615,-0.009692287046608294,-0.027307515930996673,0.1505154609815968,2,medium_risk,0.5905564268559998
MAIN,2022-03-01,2022-02-24,3,Regime-based,-0.020623418284182,-0.029906656078344973,-0.047162319211007886,0.5122839549853392,1,high_risk,0.5905564268559998
MAIN,2022-03-02,2022-02-24,4,Regime-based,0.0057202310418825,-0.024341596480126904,-0.04169624884340539,0.4543665383173269,2,medium_risk,0.3555517372976248
MAIN,2022-03-03,2022-02-24,5,Regime-based,-0.0223920836137323,-0.04594583635795679,-0.06291620045876556,0.8749138722724713,1,high_risk,0.5905564268559998
MAIN,2022-03-04,2022-02-24,6,Regime-based,-0.0131321577250991,-0.05839272001820961,-0.07514168353644712,0.976315760148544,1,high_risk,0.3555517372976248
MAIN,2022-03-07,2022-02-24,7,Regime-based,-0.0035311250647971,-0.06171178961208523,-0.07840171474274427,0.9081120008202096,1,high_risk,0.3555517372976248
MAIN,2022-03-08,2022-02-24,8,Regime-based,0.0063976981099452,-0.05568966156401978,-0.07248670609054952,0.8729862076268823,1,high_risk,0.3555517372976248
MAIN,2022-03-09,2022-02-24,9,Regime-based,0.0169352003846918,-0.03956139450512064,-0.056645322706325385,0.9961847854128176,1,high_risk,0.3555517372976248
MAIN,2022-03-10,2022-02-24,10,Regime-based,-0.0041092171890591,-0.043499947604718314,-0.06051381827389013,0.9420619930160584,1,high_risk,0.3555517372976248
MAIN,2022-03-11,2022-02-24,11,Regime-based,0.0031933632869583,-0.04044061327026638,-0.05750890225187821,0.8541126954970026,1,high_risk,0.3555517372976248
MAIN,2022-03-14,2022-02-24,12,Regime-based,0.0040079230655224,-0.03658705584906741,-0.05372389049088733,0.7510359481554495,1,high_risk,0.3555517372976248
MAIN,2022-03-15,2022-02-24,13,Regime-based,7.33627006775542e-05,-0.0365163746809678,-0.05365446657337514,0.5582986336002009,1,high_risk,0.3555517372976248
MAIN,2022-03-16,2022-02-24,14,Regime-based,0.0061755102800213,-0.030547961618131225,-0.0477922174440345,0.5307049579571014,1,high_risk,0.3555517372976248
MAIN,2022-03-17,2022-02-24,15,Regime-based,0.0013381421371142,-0.02924982864615222,-0.04651717518328058,0.3419569893151804,2,medium_risk,0.3555517372976248
MAIN,2022-03-18,2022-02-24,16,Regime-based,0.0003929844444399,-0.028868263959790252,-0.046142397629035714,0.1864792633787464,2,medium_risk,0.5905564268559998
MAIN,2022-03-21,2022-02-24,17,Regime-based,-0.0019957960647933,-0.03080451203612411,-0.04804420443767532,0.0940066224330635,2,medium_risk,0.5905564268559998
MAIN,2022-03-22,2022-02-24,18,Regime-based,0.0068587114577254,-0.02413423122087277,-0.04149257212101376,0.0656649018500319,2,medium_risk,0.5905564268559998
MAIN,2022-03-23,2022-02-24,19,Regime-based,-0.0111542888682511,-0.03495883727980842,-0.052124634073892895,0.0881535447985364,2,medium_risk,0.5905564268559998
MAIN,2022-03-24,2022-02-24,20,Regime-based,-0.0016545447583286,-0.03655422089640892,-0.05369163959427414,0.047039316966874,2,medium_risk,0.5905564268559998
MAIN,2022-01-27,2022-02-24,-20,ML Hard Classification,0.0058489501101467,0.005866088616639287,0.0,0.0029784865,2,medium_risk,0.5905564268559998
MAIN,2022-01-28,2022-02-24,-19,ML Hard Classification,-0.0065618947731034,-0.0007126905782968151,-0.006540412555297359,0.0033214318,2,medium_risk,0.5905564268559998
MAIN,2022-01-31,2022-02-24,-18,ML Hard Classification,0.0002057377328243,-0.0005070783224419007,-0.006335999405095882,0.0031862673,2,medium_risk,0.5905564268559998
MAIN,2022-02-01,2022-02-24,-17,ML Hard Classification,0.0077586522346664,0.007277800700425496,0.0,0.0033697942,2,medium_risk,0.5905564268559998
MAIN,2022-02-02,2022-02-24,-16,ML Hard Classification,-0.0009142842764453,0.0063572833166407605,-0.0009138664459245049,0.0030801692,2,medium_risk,0.5905564268559998
MAIN,2022-02-03,2022-02-24,-15,ML Hard Classification,-0.0016152914973028,0.004733035123959395,-0.0025263790929339613,0.0031810477,2,medium_risk,0.5905564268559998
MAIN,2022-02-04,2022-02-24,-14,ML Hard Classification,-0.0068426102712841,-0.002118493558698087,-0.009328403994002143,0.003769291,2,medium_risk,0.5905564268559998
MAIN,2022-02-07,2022-02-24,-13,ML Hard Classification,-0.0021283165793004,-0.004240042847934,-0.011434624629223844,0.0030033803,2,medium_risk,0.5905564268559998
MAIN,2022-02-08,2022-02-24,-12,ML Hard Classification,0.0079641658961329,0.0037220181461523616,-0.003530091253674539,0.0039026595,2,medium_risk,0.5905564268559998
MAIN,2022-02-09,2022-02-24,-11,ML Hard Classification,0.0115816799610251,0.015414383249167107,0.0,0.0033476618,2,medium_risk,0.5905564268559998
MAIN,2022-02-10,2022-02-24,-10,ML Hard Classification,0.0026509444905602,0.01810976148463661,0.0,0.0031844554,2,medium_risk,0.5905564268559998
MAIN,2022-02-11,2022-02-24,-9,ML Hard Classification,-0.0058841795541227,0.012136611619714355,-0.00586690167493531,0.003364492,2,medium_risk,0.5905564268559998
MAIN,2022-02-14,2022-02-24,-8,ML Hard Classification,-0.0152509578488525,-0.003182329994529831,-0.02091335559745322,0.0048625814,2,medium_risk,0.5905564268559998
MAIN,2022-02-15,2022-02-24,-7,ML Hard Classification,0.0098497932182961,0.0066846319257070075,-0.01122190356201791,0.0057739923,2,medium_risk,0.5905564268559998
